date,open,high,low,trendEstimation1,trendEstimation2
2020-02-14T00:00:00.000000000,99.0,99.4,98.1,-0.13477007376386266,-2.2666878762143137
2020-02-13T00:00:00.000000000,97.75,99.5,97.75,-0.11516905781058137,-2.3306646817285865
2020-02-12T00:00:00.000000000,99.4,99.8,97.55,-0.1408866523110981,-2.366053201418488
2020-02-11T00:00:00.000000000,98.2,99.5,98.0,-0.1722478088781078,-2.456450505725808
2020-02-10T00:00:00.000000000,95.0,98.4,94.6,-0.17739879992176313,-2.5312707015522626
2020-02-07T00:00:00.000000000,94.95,95.05,94.45,-0.15076609458526047,-2.5621131237092984
2020-02-06T00:00:00.000000000,94.05,95.1,94.0,-0.15437780230806297,-2.5912212287495984
2020-02-05T00:00:00.000000000,93.4,94.55,93.0,-0.1646293126304721,-2.6127587027216874
2020-02-04T00:00:00.000000000,94.9,94.9,91.6,-0.1179687985477418,-2.642647630055283
2020-02-03T00:00:00.000000000,95.65,96.0,94.35,-0.10074377149922681,-2.640127490437155
2020-01-31T00:00:00.000000000,95.65,96.75,95.2,-0.10074377149922681,-2.644907630828869
2020-01-30T00:00:00.000000000,96.05,96.95,95.3,-0.08551773540312081,-2.617061524875742
2020-01-29T00:00:00.000000000,96.8,98.0,96.65,-0.07884489071442011,-2.6003803034667623
2020-01-28T00:00:00.000000000,95.6,96.8,95.5,-0.10076287646239221,-2.5898609767038794
2020-01-27T00:00:00.000000000,95.5,96.15,95.1,-0.0861128522867412,-2.5993292299170814
2020-01-24T00:00:00.000000000,95.0,96.45,94.95,-0.13167645140449397,-2.615208349157012
2020-01-23T00:00:00.000000000,96.95,97.05,94.75,-0.14871776929608432,-2.625845798324976
2020-01-22T00:00:00.000000000,95.9,97.1,94.25,-0.11958688455877184,-2.637774250115428
2020-01-21T00:00:00.000000000,95.85,96.35,95.1,-0.07090679973583337,-2.6561567851979886
2020-01-17T00:00:00.000000000,95.9,96.2,94.9,-0.04014758049600258,-2.6202960240113033
2020-01-16T00:00:00.000000000,97.15,97.25,95.05,-0.05282978498800072,-2.6270821566393856
2020-01-15T00:00:00.000000000,96.9,97.3,96.05,-0.05526717617434143,-2.648677347083263
2020-01-14T00:00:00.000000000,95.55,96.85,94.75,-0.06842908858058133,-2.6744210935961767
2020-01-13T00:00:00.000000000,97.1,97.15,95.4,-0.04031337947836336,-2.6909095939543577
2020-01-10T00:00:00.000000000,97.0,97.45,96.3,-0.08695402686872866,-2.6149826184157723
2020-01-08T00:00:00.000000000,104.58603092783504,104.51852231913804,104.81900311526482,-0.01140936595679436,-2.633135167757969
2020-01-07T00:00:00.000000000,104.58603092783504,104.41570035915855,104.81900311526482,-0.026752210768639314,-2.789818508084888
2020-01-06T00:00:00.000000000,107.10927835051548,106.93483837865573,105.18026998961581,-0.03521481353118313,-2.972110507376712
2020-01-02T00:00:00.000000000,100.41494845360826,100.25141097998971,99.14195223260644,-0.1004687418864106,-3.67396992895102
2019-12-31T00:00:00.000000000,97.32525773195877,102.92478193945612,97.54205607476636,-0.17498512088449533,-3.661298296158873
2019-12-30T00:00:00.000000000,100.31195876288662,100.50846587993843,96.25181723779856,-0.15681953588857245,-3.6998115038353734
2019-12-27T00:00:00.000000000,99.48804123711339,101.58809645972292,99.40000000000002,-0.18507030580628817,-3.6486322353806386
2019-12-26T00:00:00.000000000,102.57773195876291,102.41067213955874,98.57424714434063,-0.1597619302102099,-3.582658903260399
2019-12-24T00:00:00.000000000,103.91659793814436,103.74735761929196,102.29013499480791,-0.1541872165268746,-3.5684923956819956
2019-12-23T00:00:00.000000000,103.71061855670105,104.3642893791688,103.58037383177572,-0.12621025513426654,-3.6038705256687167
2019-12-20T00:00:00.000000000,102.78371134020621,103.85017957927141,102.80623052959506,-0.13725247436040827,-3.61378300634603
2019-12-19T00:00:00.000000000,100.67242268041237,102.71913801949718,100.7418483904465,-0.16317458455352582,-3.437271441069414
2019-12-18T00:00:00.000000000,100.15747422680414,100.91975371985636,100.22575285565941,-0.17280655024884956,-3.353141565702621
2019-12-17T00:00:00.000000000,100.98139175257731,101.0225756798358,99.76126687435101,-0.18581446960687195,-3.2868102649580018
2019-12-16T00:00:00.000000000,100.46644329896908,101.33104155977422,100.38058151609556,-0.2230502782291899,-3.32885515957611
2019-12-13T00:00:00.000000000,100.31195876288662,100.45705489994869,99.86448598130845,-0.23347230535324753,-3.3673654275991507
2019-12-12T00:00:00.000000000,101.34185567010313,101.27963057978451,100.22575285565941,-0.24170885019351732,-3.3296999670194714
2019-12-11T00:00:00.000000000,101.23886597938144,101.89656233966134,100.7418483904465,-0.25670230569748936,-3.125467484391669
2019-12-10T00:00:00.000000000,100.46644329896908,101.84515135967163,100.27736240913815,-0.2668620475298562,-2.844007039230984
2019-12-09T00:00:00.000000000,98.40664948453608,100.14858902001026,98.05815160955349,-0.26336513068404277,-2.831719790057312
2019-12-06T00:00:00.000000000,98.6641237113402,98.65767060030785,97.80010384215994,-0.2770814567412106,-2.8406020502508005
2019-12-05T00:00:00.000000000,98.8186082474227,99.32601334017444,98.57424714434063,-0.28034660593490773,-2.863245172675683
2019-12-04T00:00:00.000000000,100.1059793814433,100.25141097998971,98.31619937694704,-0.3025944821800197,-2.901751347628903
2019-12-03T00:00:00.000000000,99.17907216494848,100.97116469984607,99.34839044652132,-0.30609572572209526,-2.9016963112205048
2019-12-02T00:00:00.000000000,101.5478350515464,101.69091841970241,99.34839044652132,-0.290074982385523,-2.9251518047120952
2019-11-29T00:00:00.000000000,102.52623711340208,102.82195997947665,101.67082035306335,-0.273922632003322,-2.958530489813194
2019-11-27T00:00:00.000000000,102.9896907216495,103.13042585941507,102.54818276220146,-0.283891343783181,-3.0270370940547116
2019-11-26T00:00:00.000000000,102.52623711340208,103.07901487942533,102.49657320872277,-0.28239824330289387,-3.058754467960502
2019-11-25T00:00:00.000000000,101.44484536082476,102.61631605951771,101.51599169262722,-0.27731307040458736,-3.0555965672610528
2019-11-22T00:00:00.000000000,101.084381443299,101.94797331965113,101.25794392523365,-0.2726798034397189,-3.0922969708346515
2019-11-21T00:00:00.000000000,102.26876288659794,102.82195997947665,101.15472481827624,-0.2552206145840162,-3.130117120167856
2019-11-20T00:00:00.000000000,100.92989690721649,102.5134940995382,101.05150571131881,-0.2708748466826296,-3.101340312776607
2019-11-19T00:00:00.000000000,101.44484536082476,101.27963057978451,100.63862928348914,-0.2284209314044747,-3.0054015738825672
2019-11-18T00:00:00.000000000,103.55613402061856,103.541713699333,101.3095534787124,-0.19915638622188675,-2.929826303253245
2019-11-15T00:00:00.000000000,103.29865979381444,103.33606977937404,103.21910695742471,-0.17709405913148438,-2.8346846921132896
2019-11-14T00:00:00.000000000,102.9896907216495,103.38748075936377,102.29013499480791,-0.18138756045384882,-2.700507473703888
2019-11-13T00:00:00.000000000,101.65082474226807,102.97619291944588,101.4127725856698,-0.1988282108653839,-2.5930405459563723
2019-11-12T00:00:00.000000000,101.23886597938144,101.74232939969215,100.122533748702,-0.20838558573928495,-2.5786812274234725
