date,open,high,low,trendEstimation1,trendEstimation2
2019-11-27T00:00:00.000000000,884.75,887.5,881.25,-0.03195938503620137,0.42697763575270864
2019-11-26T00:00:00.000000000,892.75,895.0,882.75,-0.02617278158038312,0.6163778995451853
2019-11-25T00:00:00.000000000,898.0,902.5,892.0,-0.025289938720635615,0.736010353274342
2019-11-22T00:00:00.000000000,900.5,903.5,895.5,-0.010891861424136985,0.8435771055212754
2019-11-21T00:00:00.000000000,905.25,909.25,900.25,-0.0023436276348477083,0.9343266383313679
2019-11-20T00:00:00.000000000,910.5,915.75,904.25,0.0034422833896395047,1.0066155263205094
2019-11-19T00:00:00.000000000,910.5,917.0,910.0,0.006006445953667352,1.055841328090039
2019-11-18T00:00:00.000000000,919.0,921.75,910.0,0.010806085194203558,1.1159180969248796
2019-11-15T00:00:00.000000000,918.25,923.5,915.25,0.002613173564701912,1.0965603501514987
2019-11-14T00:00:00.000000000,900.75,901.75,900.5,-0.017597203523995842,1.018534345912281
2019-11-13T00:00:00.000000000,906.5,909.25,902.0,-0.02065825961257351,1.0476737735055932
2019-11-12T00:00:00.000000000,906.0,909.25,905.0,-0.025796289125767608,1.0405929236497995
2019-11-11T00:00:00.000000000,916.5,917.25,904.25,-0.010678687015596159,1.0475037706708161
2019-11-08T00:00:00.000000000,924.5,926.75,915.75,0.0024059183213676403,1.0441307987022377
2019-11-07T00:00:00.000000000,916.5,927.0,915.0,-0.012595976381845021,1.0284147092151328
2019-11-06T00:00:00.000000000,922.25,922.5,914.25,-0.00640113389869784,1.0416597806979229
2019-11-05T00:00:00.000000000,925.25,928.75,920.0,-0.010836972613219018,1.0345047617301857
2019-11-04T00:00:00.000000000,923.25,929.75,921.0,-0.02157664956393518,1.0196301600299396
2019-11-01T00:00:00.000000000,915.5,926.5,915.0,-0.02152927908117293,1.0302961672475528
2019-10-31T00:00:00.000000000,915.75,920.5,910.5,-0.013130779707482429,1.0551230334593718
2019-10-30T00:00:00.000000000,917.75,921.5,915.25,-0.01015309552025104,1.07699915379401
2019-10-29T00:00:00.000000000,921.0,925.25,916.0,-0.012396030227681092,1.1053631018206425
2019-10-28T00:00:00.000000000,921.5,926.0,920.25,-0.009676739705769717,1.1148473540678685
2019-10-25T00:00:00.000000000,933.5,937.25,919.5,0.0032194937435311645,1.1457067852106657
2019-10-24T00:00:00.000000000,933.75,939.0,932.75,-0.00801784153531027,1.1396769028983114
2019-10-23T00:00:00.000000000,934.0,939.0,927.75,-0.008834604290430915,1.125460190329765
2019-10-22T00:00:00.000000000,932.5,945.25,931.0,0.0018681249039204123,1.1065924086655177
2019-10-21T00:00:00.000000000,930.75,940.0,930.25,-0.010123987120475892,1.0912893492132631
2019-10-18T00:00:00.000000000,931.0,938.5,930.5,-0.007960243500270853,1.073456979771235
2019-10-17T00:00:00.000000000,928.0,940.75,927.25,-0.018147124685418285,1.0527434377656046
2019-10-16T00:00:00.000000000,933.0,938.75,927.5,-0.01339345988487412,1.0370334949915374
