date,open,high,low
2019-11-27T00:00:00.000000000,2020.0,2032.2,2019.3
2019-11-26T00:00:00.000000000,2010.0,2021.4,2005.6
2019-11-25T00:00:00.000000000,1992.9,2012.9,1991.8
2019-11-22T00:00:00.000000000,1980.4,1990.1,1978.2
2019-11-21T00:00:00.000000000,1990.1,2001.3,1978.2
2019-11-20T00:00:00.000000000,2000.4,2005.4,1981.2
2019-11-19T00:00:00.000000000,1997.9,2006.8,1993.3
2019-11-18T00:00:00.000000000,2000.3,2005.4,1991.9
2019-11-15T00:00:00.000000000,1991.2,2004.8,1991.2
2019-11-14T00:00:00.000000000,1991.6,1994.7,1982.3
2019-11-13T00:00:00.000000000,1991.8,1992.3,1976.9
2019-11-12T00:00:00.000000000,1995.5,2003.3,1988.0
2019-11-11T00:00:00.000000000,1999.0,1999.5,1984.9
2019-11-08T00:00:00.000000000,1993.1,2000.3,1984.5
2019-11-07T00:00:00.000000000,1992.0,2010.6,1988.3
2019-11-06T00:00:00.000000000,1997.8,2001.5,1984.4
2019-11-05T00:00:00.000000000,1992.6,2010.4,1991.9
2019-11-04T00:00:00.000000000,1983.3,1999.0,1983.3
2019-11-01T00:00:00.000000000,1955.9,1984.2,1954.3
2019-10-31T00:00:00.000000000,1971.5,1971.7,1945.5
2019-10-30T00:00:00.000000000,1975.8,1976.0,1958.0
2019-10-29T00:00:00.000000000,1971.6,1980.9,1962.5
2019-10-28T00:00:00.000000000,1960.1,1980.9,1959.5
2019-10-25T00:00:00.000000000,1948.6,1965.2,1945.7
2019-10-24T00:00:00.000000000,1952.5,1958.2,1940.0
2019-10-23T00:00:00.000000000,1946.1,1951.7,1940.3
2019-10-22T00:00:00.000000000,1949.8,1958.4,1942.5
2019-10-21T00:00:00.000000000,1934.9,1957.6,1934.8
2019-10-18T00:00:00.000000000,1939.9,1941.7,1925.6
2019-10-17T00:00:00.000000000,1923.5,1941.9,1919.8
2019-10-16T00:00:00.000000000,1924.8,1930.6,1915.4
2019-10-15T00:00:00.000000000,1908.7,1930.7,1908.7
2019-10-14T00:00:00.000000000,1918.5,1926.0,1902.3
2019-10-11T00:00:00.000000000,1892.6,1934.1,1887.9
2019-10-10T00:00:00.000000000,1875.6,1895.3,1851.0
2019-10-09T00:00:00.000000000,1861.8,1881.4,1858.7
2019-10-08T00:00:00.000000000,1893.9,1902.9,1859.8
2019-10-07T00:00:00.000000000,1890.8,1908.6,1889.9
2019-10-04T00:00:00.000000000,1884.7,1905.2,1876.2
2019-10-03T00:00:00.000000000,1871.2,1887.7,1850.4
2019-10-02T00:00:00.000000000,1901.0,1906.8,1862.0
2019-10-01T00:00:00.000000000,1942.4,1953.4,1898.4
2019-09-30T00:00:00.000000000,1931.3,1943.1,1923.7
2019-09-27T00:00:00.000000000,1939.8,1950.5,1916.8
2019-09-26T00:00:00.000000000,1949.4,1955.3,1930.9
2019-09-25T00:00:00.000000000,1928.3,1953.4,1917.3
2019-09-24T00:00:00.000000000,1956.0,1961.3,1922.2
2019-09-23T00:00:00.000000000,1952.5,1960.2,1937.1
2019-09-20T00:00:00.000000000,1951.0,1955.8,1949.9
2019-09-19T00:00:00.000000000,1946.9,1966.7,1943.0
2019-09-18T00:00:00.000000000,1968.4591401715547,1962.1929526618192,1940.1939629439014
2019-09-17T00:00:00.000000000,1981.2250243977605,1973.1045914476026,1953.810061760165
2019-09-16T00:00:00.000000000,1961.1212697108224,1974.9065134489247,1950.2058003088011
2019-09-13T00:00:00.000000000,1975.797010632287,1980.2121726750393,1964.9232012352034
2019-09-12T00:00:00.000000000,1977.0032359135034,1979.9118523414857,1953.709943386516
2019-09-11T00:00:00.000000000,1948.2548667111819,1970.3016016677684,1930.4824806999488
2019-09-10T00:00:00.000000000,1935.187426164672,1942.3718106472772,1913.5624755532683
2019-09-09T00:00:00.000000000,1920.2101289229029,1929.8584634158742,1912.5612918167783
2019-09-06T00:00:00.000000000,1919.1044224151215,1923.6518431890984,1911.4599897066394
2019-09-05T00:00:00.000000000,1890.959165853408,1922.95109574414,1882.9262532166754
2019-09-04T00:00:00.000000000,1863.215984385433,1885.0106269385265,1855.2935820895523
2019-09-03T00:00:00.000000000,1875.680312291335,1883.7092388264607,1849.4867164179107
2019-08-30T00:00:00.000000000,1885.8327084082387,1892.5186352773683,1873.114652599074
2019-08-29T00:00:00.000000000,1854.9734449637886,1882.7081710479483,1842.6786670097788
2019-08-28T00:00:00.000000000,1841.6044480969745,1857.2810494737378,1825.1579516212046
2019-08-27T00:00:00.000000000,1865.9299912681697,1866.791193369604,1830.3641070509523
2019-08-26T00:00:00.000000000,1831.6530895269402,1865.9903391467942,1816.6478898610399
2019-08-23T00:00:00.000000000,1897.090811032924,1899.2257893934002,1833.1674215131243
2019-08-22T00:00:00.000000000,1902.1167497046586,1900.627284283317,1879.0216366443644
2019-08-21T00:00:00.000000000,1881.3093636036774,1896.522906391417,1871.9132321152858
2019-08-20T00:00:00.000000000,1901.1115619703116,1899.1256826155488,1875.6176119402987
2019-08-19T00:00:00.000000000,1885.732189634804,1901.9286723953833,1878.2206896551725
2019-08-16T00:00:00.000000000,1847.736093276491,1878.3034728224945,1839.174523932064
2019-08-15T00:00:00.000000000,1844.6200113000152,1860.084039253572,1827.0602007205355
2019-08-14T00:00:00.000000000,1907.444244696697,1901.4281385061272,1837.872985074627
2019-08-13T00:00:00.000000000,1882.5155888848938,1914.6422331824883,1864.9049459598561
2019-08-12T00:00:00.000000000,1910.2587703528686,1911.238602735547,1871.0121667524447
2019-08-09T00:00:00.000000000,1928.8547434382865,1925.3536584125693,1897.543535769429
2019-08-08T00:00:00.000000000,1893.7736915095793,1930.559210860833,1880.8237673700464
2019-08-07T00:00:00.000000000,1887.5415275566284,1895.0213047236487,1854.3925167267114
2019-08-06T00:00:00.000000000,1852.6615131747906,1887.7135099405095,1820.6526248069997
2019-08-05T00:00:00.000000000,1920.6122040166417,1917.2450094066203,1845.081507977355
2019-08-02T00:00:00.000000000,1941.5201088910576,1936.6657243097575,1905.1525321667527
2019-08-01T00:00:00.000000000,1972.278853562073,1981.413454009254,1928.3799948533197
2019-07-31T00:00:00.000000000,1998.2126971082234,1996.229257131235,1959.0162171899128
2019-07-30T00:00:00.000000000,1986.3514818429296,1992.7255199064423,1962.1198867730316
2019-07-29T00:00:00.000000000,1993.9909086239663,1990.1227436823106,1975.1352753474011
