Date,Open,High,Low,Settle,Volume,Prev. Day Open Interest
2020-02-14,171.48,171.79,171.48,171.73,4057.0,63805.0
2020-02-13,171.53,171.84,171.34,171.52,6482.0,60582.0
2020-02-12,171.28,171.44,170.99,171.27,20673.0,58850.0
2020-02-11,171.6,171.62,171.42,171.51,14148.0,47644.0
2020-02-10,171.49,171.93,171.35,171.83,204.0,35723.0
2020-02-07,171.45,171.61,171.3,171.44,1177.0,35597.0
2020-02-06,171.0,171.12,170.81,171.08,3486.0,34665.0
2020-02-05,171.82,171.82,170.96,171.18,1566.0,33008.0
2020-02-04,172.12,172.13,171.59,171.79,3751.0,33128.0
2020-02-03,172.36,172.36,171.92,172.13,1060.0,32655.0
2020-01-31,171.53,172.45,171.53,172.29,1507.0,31904.0
2020-01-30,171.56,171.87,171.56,171.84,3048.0,31158.0
2020-01-29,170.97,171.51,170.97,171.33,1332.0,30530.0
2020-01-28,171.45,171.69,170.83,170.95,3960.0,30087.0
2020-01-27,170.94,171.53,170.82,171.5,8305.0,27857.0
2020-01-24,170.09,170.72,169.9,170.56,1504.0,23661.0
2020-01-23,169.8,170.32,169.79,170.31,1868.0,22261.0
2020-01-22,169.39,169.78,169.39,169.61,3747.0,20548.0
2020-01-21,169.11,169.43,168.88,169.49,97.0,17089.0
2020-01-20,169.0,169.0,169.0,168.96,1.0,16995.0
2020-01-17,169.06,169.06,168.85,168.9,8878.0,17015.0
2020-01-16,168.95,169.09,168.9,169.0,1019.0,9187.0
2020-01-15,168.65,169.0,168.65,168.74,28.0,8306.0
2020-01-14,168.08,168.3,168.03,168.29,3220.0,8306.0
2020-01-13,168.6,168.6,168.12,168.04,171.0,5110.0
2020-01-10,168.27,168.28,168.27,168.63,1667.0,5057.0
2020-01-09,168.58,168.58,168.44,168.42,204.0,3391.0
2020-01-08,170.2,170.2,168.73,169.05,76.0,3239.0
2020-01-07,169.36,169.51,169.25,169.39,986.0,3406.0
