Date,Open,High,Low,Settle,Volume,Interest
2019-11-28,5905.5,5913.0,5893.5,5906.5,28198.0,354499.0
2019-11-27,5936.5,5944.0,5914.5,5920.0,50127.0,352996.0
2019-11-26,5924.0,5935.0,5903.0,5923.0,49607.0,358401.0
2019-11-25,5920.5,5927.5,5901.0,,38157.0,368075.0
2019-11-22,5882.0,5922.5,5876.5,5885.0,62694.0,364130.0
2019-11-21,5854.0,5888.0,5826.0,5873.0,74192.0,358271.0
2019-11-20,5880.0,5895.0,5849.5,5886.0,75738.0,353642.0
2019-11-18,5929.0,5938.5,5891.0,5921.0,59727.0,348380.0
2019-11-15,5931.5,5939.0,5898.5,5930.0,71062.0,346154.0
2019-11-14,5899.0,5917.5,5889.5,5901.0,99111.0,215899.0
2019-11-13,5906.5,5917.0,5873.0,5907.0,181618.0,348027.0
2019-11-12,5910.5,5931.5,5897.0,5920.0,224393.0,315328.0
2019-11-11,5865.5,5906.5,5863.0,5894.0,93165.0,300000.0
2019-11-08,5864.0,5902.5,5861.0,5889.5,69007.0,300469.0
2019-11-07,5865.0,5906.5,5865.0,5890.5,69854.0,298313.0
2019-11-06,5841.5,5876.5,5837.5,5865.5,66661.0,298195.0
2019-11-05,5839.5,5849.5,5818.0,5846.0,61753.0,296784.0
2019-11-04,5787.5,5831.5,5776.5,5821.5,68766.0,294684.0
2019-11-01,5760.0,5775.5,5736.0,5758.5,59628.0,306982.0
2019-10-31,5769.0,5800.0,5713.5,5727.0,92596.0,306540.0
2019-10-30,5744.5,5774.0,5711.0,5762.0,79340.0,297370.0
2019-10-29,5728.0,5750.0,5711.0,5736.5,64855.0,290085.0
2019-10-28,5725.5,5744.0,5707.0,5727.0,57140.0,286826.0
2019-10-25,5689.0,5721.0,5668.0,5718.5,87418.0,306953.0
2019-10-24,5666.5,5689.0,5654.5,5680.5,66448.0,301343.0
2019-10-23,5622.5,5656.5,5611.5,5650.0,58109.0,300364.0
2019-10-22,5651.5,5658.0,5609.0,5654.0,54371.0,300950.0
2019-10-21,5642.5,5662.0,5621.0,5644.5,51481.0,308830.0
2019-10-18,5656.0,5665.0,5615.0,5633.0,89781.0,286544.0
2019-10-17,5683.5,5738.0,5656.5,5673.0,112992.0,155600.0
2019-10-16,5694.5,5710.5,5676.5,5696.5,159942.0,361449.0
2019-10-15,5659.0,5725.0,5658.5,5701.5,250678.0,
2019-10-14,5648.5,5654.0,5598.5,5642.5,164477.0,328263.0
2019-10-11,5587.0,5675.0,5563.5,5665.0,115558.0,322746.0
2019-10-10,5513.0,5581.0,5485.0,5568.0,93139.0,309572.0
2019-10-09,5465.0,5525.5,5445.0,5497.5,64761.0,315332.0
2019-10-08,5529.0,5538.5,5447.5,5455.5,87033.0,317628.0
2019-10-07,5477.5,5537.5,5458.5,5520.0,63406.0,322735.0
2019-10-04,5466.5,5505.5,5423.5,5486.0,87513.0,333394.0
2019-10-03,5417.0,5471.5,5390.0,5436.5,131813.0,331026.0
2019-10-02,5594.0,5594.5,5409.0,5420.5,124821.0,321092.0
2019-10-01,5693.0,5704.5,5579.0,5595.5,89726.0,311646.0
2019-09-30,5627.5,5678.5,5619.5,5676.0,70035.0,307501.0
2019-09-27,5630.5,5644.0,5602.0,5639.0,60327.0,313896.0
2019-09-26,5576.0,5633.0,5561.0,5612.0,83570.0,310895.0
2019-09-25,5607.5,5608.0,5522.5,5575.0,94224.0,295844.0
2019-09-24,5637.5,5640.5,5587.0,5619.5,59739.0,302817.0
2019-09-23,5668.5,5675.0,5611.0,5622.0,71117.0,296279.0
2019-09-20,5643.0,5687.5,5636.0,5681.5,113054.0,296017.0
2019-09-19,5624.5,5665.5,5616.0,5659.5,93308.0,162219.0
2019-09-18,5615.0,5639.0,5601.0,5621.0,137610.0,306624.0
2019-09-17,5600.0,5621.0,5587.0,5616.0,205826.0,330848.0
2019-09-16,5625.0,5634.0,5602.0,5602.0,183959.0,311403.0
2019-09-13,5647.5,5671.5,5637.0,5654.5,92366.0,332797.0
2019-09-12,5634.0,5667.5,5590.0,5641.5,139792.0,320671.0
2019-09-11,5597.0,5625.5,5596.5,5617.0,102257.0,310679.0
2019-09-10,5585.5,5606.5,5554.0,5592.0,79917.0,304017.0
2019-09-09,5602.0,5611.5,5570.5,5588.0,57632.0,303644.0
2019-09-06,5589.0,5610.0,5578.5,5602.5,69753.0,307500.0
2019-09-05,5578.5,5604.5,5557.0,5591.5,90549.0,300019.0
2019-09-04,5494.5,5536.0,5493.5,5530.0,68501.0,301315.0
2019-09-03,5488.0,5499.0,5437.5,5464.0,85163.0,298146.0
2019-09-02,5476.0,5500.5,5460.5,5490.5,49226.0,301775.0
2019-08-30,5461.0,5502.0,5442.5,5478.0,75429.0,297813.0
2019-08-29,5352.0,5457.0,5350.0,5447.5,79521.0,293784.0
2019-08-28,5374.5,5377.5,5319.0,5366.0,70206.0,292651.0
2019-08-27,5345.5,5397.0,5317.5,5384.0,70336.0,300309.0
2019-08-26,5263.0,5377.0,5263.0,5348.0,86081.0,303439.0
2019-08-23,5410.0,5422.0,5282.5,5324.0,102422.0,304130.0
2019-08-22,5422.0,5437.0,5374.0,5385.0,80083.0,292172.0
2019-08-21,5344.5,5440.0,5343.5,5432.0,67251.0,288467.0
2019-08-20,5368.5,5388.5,5325.0,5341.5,63439.0,295082.0
2019-08-19,5320.0,5375.0,5316.0,5368.0,79262.0,300316.0
2019-08-16,5266.5,5303.5,5245.0,5297.5,99105.0,290469.0
2019-08-15,5257.0,5281.5,5169.5,5237.0,139419.0,173152.0
2019-08-14,5374.5,5378.5,5228.0,5250.5,213624.0,297687.0
2019-08-13,5307.5,5405.0,5267.0,5362.5,236631.0,313721.0
2019-08-12,5356.5,5386.0,5282.5,5309.0,174243.0,309389.0
2019-08-09,5353.5,5376.0,5316.0,5326.5,87652.0,320139.0
2019-08-08,5325.0,5388.0,5303.0,5386.5,101752.0,320615.0
2019-08-07,5248.0,5311.0,5223.5,5265.0,116151.0,341539.0
2019-08-06,5241.5,5296.0,5228.0,5232.5,125384.0,346545.0
2019-08-05,5305.0,5317.0,5187.0,5240.5,150493.0,346212.0
2019-08-02,5447.0,5457.0,5349.0,5357.5,185433.0,338762.0
2019-08-01,5503.0,5564.5,5449.5,5557.0,125691.0,328964.0
2019-07-31,5528.0,5539.0,5461.0,5518.5,95934.0,334942.0
2019-07-30,5605.0,5616.5,5484.5,5509.5,102861.0,315610.0
2019-07-29,5599.5,5624.0,5585.5,5600.0,46755.0,320347.0
2019-07-26,5591.0,5615.0,5566.5,5609.0,60349.0,335473.0
2019-07-25,5641.5,5672.5,5546.5,5576.0,121846.0,319424.0
2019-07-24,5620.0,5631.5,5580.5,5604.0,61978.0,324919.0
2019-07-23,5576.5,5638.5,5571.5,5617.5,82459.0,309899.0
2019-07-22,5552.5,5576.0,5542.5,5566.0,67236.0,319741.0
2019-07-19,5576.5,5596.5,5531.5,5549.5,91056.0,309802.0
2019-07-18,5534.5,5586.5,5530.0,5551.0,112571.0,218669.0
2019-07-17,5606.5,5621.5,5560.0,5571.5,194900.0,322186.0
2019-07-16,5577.5,5627.0,5571.5,5614.0,207849.0,350655.0
2019-07-15,5583.5,5607.5,5549.5,5578.0,175986.0,329329.0
2019-07-12,5570.0,5587.5,5552.0,5572.5,53646.0,331046.0
2019-07-11,5589.5,5593.0,5547.5,5551.5,56455.0,332029.0
2019-07-10,5574.0,5605.5,5556.5,5567.0,65205.0,334127.0
2019-07-09,5579.5,5583.5,5543.5,5571.5,71506.0,335825.0
2019-07-08,5576.0,5599.0,5571.5,5589.0,54330.0,337397.0
2019-07-05,5614.0,5621.5,5571.5,5592.0,57607.0,328072.0
2019-07-04,5621.0,5628.5,5611.0,5619.0,25466.0,334918.0
2019-07-03,5581.0,5631.0,5574.0,5616.5,50741.0,337313.0
2019-07-02,5571.5,5578.5,5549.5,5572.0,66923.0,343441.0
2019-07-01,5584.0,5607.5,5557.5,5562.5,71144.0,336887.0
2019-06-28,5488.5,5540.5,5479.0,5533.0,54330.0,337079.0
2019-06-27,5507.5,5511.0,5460.0,5488.5,56754.0,336736.0
2019-06-26,5495.5,5526.5,5486.5,5495.5,48273.0,337648.0
2019-06-25,5494.5,5518.5,5487.5,5509.0,57969.0,332135.0
2019-06-24,5509.0,5540.5,5500.0,5514.5,49848.0,341916.0
