Date,Previous Settlement
2020-02-17,7066.0
2020-02-14,7066.0
2020-02-13,7029.0
2020-02-12,7019.0
2020-02-11,6990.0
2020-02-10,6945.0
2020-02-07,6955.0
2020-02-06,6980.0
2020-02-05,6908.0
2020-02-04,6888.0
2020-02-03,6859.0
2020-01-31,6954.0
2020-01-30,6939.0
2020-01-29,6964.0
2020-01-28,6939.0
2020-01-27,7002.0
2020-01-24,7033.0
2020-01-23,7030.0
2020-01-22,7076.0
2020-01-21,7008.0
2020-01-20,7026.0
2020-01-17,7008.0
2020-01-16,6989.0
2020-01-15,6930.0
2020-01-14,6909.0
2020-01-13,6841.0
2020-01-10,6869.0
2020-01-09,6815.0
2020-01-08,6752.0
2020-01-07,6764.0
2020-01-06,6673.0
2020-01-03,6660.0
2020-01-02,6624.0
2019-12-31,6603.0
2019-12-30,6741.0
2019-12-27,6744.0
2019-12-24,6710.0
2019-12-23,6715.0
2019-12-20,6752.0
2019-12-19,6866.0
2019-12-18,6858.0
2019-12-17,6846.0
2019-12-16,6849.0
2019-12-14,6743.0
2019-12-13,6743.0
2019-12-12,6703.0
2019-12-11,6751.0
2019-12-10,6717.0
2019-12-09,6729.0
2019-12-07,6703.0
2019-12-06,6703.0
2019-12-05,6679.0
2019-12-04,6611.0
2019-12-03,6699.0
2019-12-02,6867.0
2019-11-30,6856.0
2019-11-29,6856.0
2019-11-28,6872.0
2019-11-27,6859.0
2019-11-26,6795.0
2019-11-25,6742.0
2019-11-23,6720.0
2019-11-22,6720.0
2019-11-21,6672.0
2019-11-20,6717.0
2019-11-19,6821.0
2019-11-18,6775.0
2019-11-16,6797.0
2019-11-15,6797.0
2019-11-14,6739.0
2019-11-13,6691.0
2019-11-12,6744.0
2019-11-11,6765.0
2019-11-09,6699.0
2019-11-08,6699.0
2019-11-07,6703.0
2019-11-06,6630.0
2019-11-05,6667.0
2019-11-04,6657.0
2019-11-02,6646.0
2019-11-01,6646.0
2019-10-31,6639.0
2019-10-30,6670.0
2019-10-29,6723.0
2019-10-28,6718.0
2019-10-26,6715.0
2019-10-25,6715.0
2019-10-24,6672.0
2019-10-23,6646.0
2019-10-22,6647.0
2019-10-21,6619.0
2019-10-19,6616.0
2019-10-18,6616.0
2019-10-17,6664.0
2019-10-16,6718.0
2019-10-15,6631.0
2019-10-14,6623.0
2019-10-12,6581.0
2019-10-11,6581.0
2019-10-10,6529.0
2019-10-09,6514.0
2019-10-08,6566.0
2019-10-07,6540.0
2019-10-05,6487.0
2019-10-04,6487.0
2019-10-03,6463.0
2019-10-02,6613.0
2019-10-01,6728.0
2019-09-30,6682.0
2019-09-28,6695.0
2019-09-27,6695.0
2019-09-26,6662.0
2019-09-25,6688.0
2019-09-24,6735.0
2019-09-23,6730.0
2019-09-21,6717.0
2019-09-20,6717.0
2019-09-19,6718.0
2019-09-18,6687.0
2019-09-17,6694.0
2019-09-16,6677.0
2019-09-14,6674.0
2019-09-13,6674.0
2019-09-12,6648.0
2019-09-11,6637.0
2019-09-10,6617.0
2019-09-09,6641.0
2019-09-07,6638.0
2019-09-06,6638.0
2019-09-05,6600.0
2019-09-04,6536.0
2019-09-03,6554.0
2019-09-02,6552.0
2019-08-31,6571.0
2019-08-30,6571.0
2019-08-29,6481.0
2019-08-28,6472.0
2019-08-27,6430.0
2019-08-26,6400.0
2019-08-24,6486.0
2019-08-23,6486.0
2019-08-22,6462.0
2019-08-21,6439.0
2019-08-20,6500.0
2019-08-19,6428.0
2019-08-17,6354.0
2019-08-16,6354.0
2019-08-15,6374.0
2019-08-14,6535.0
2019-08-13,6492.0
2019-08-12,6532.0
2019-08-10,6521.0
2019-08-09,6521.0
2019-08-08,6494.0
2019-08-07,6449.0
2019-08-06,6390.0
2019-08-05,6570.0
2019-08-03,6708.0
2019-08-02,6708.0
2019-08-01,6727.0
2019-07-31,6752.0
2019-07-30,6783.0
2019-07-29,6759.0
2019-07-27,6731.0
2019-07-26,6731.0
2019-07-25,6753.0
2019-07-24,6716.0
2019-07-23,6658.0
2019-07-22,6630.0
2019-07-20,6642.0
2019-07-19,6642.0
2019-07-18,6578.0
2019-07-17,6606.0
2019-07-16,6582.0
2019-07-15,6597.0
2019-07-13,6634.0
2019-07-12,6634.0
2019-07-11,6654.0
2019-07-10,6630.0
2019-07-09,6596.0
2019-07-08,6615.0
2019-07-06,6690.0
2019-07-05,6690.0
2019-07-04,6662.0
2019-07-03,6623.0
2019-07-02,6603.0
2019-07-01,6587.0
2019-06-29,6559.0
2019-06-28,6559.0
2019-06-27,6603.0
2019-06-26,6569.0
2019-06-25,6594.0
2019-06-24,6593.0
2019-06-22,6588.0
2019-06-21,6588.0
2019-06-20,6652.0
2019-06-19,6655.0
2019-06-18,6575.0
2019-06-17,6541.0
2019-06-15,6557.0
2019-06-14,6557.0
2019-06-13,6546.0
2019-06-12,6550.0
2019-06-11,6553.0
2019-06-10,6481.0
2019-06-08,6449.0
2019-06-07,6449.0
2019-06-06,6386.0
2019-06-05,6362.0
2019-06-04,6335.0
2019-06-03,6314.0
2019-06-01,6402.0
2019-05-31,6402.0
2019-05-30,6393.0
2019-05-29,6430.0
2019-05-28,6484.0
2019-05-27,6463.0
2019-05-25,6464.0
2019-05-24,6464.0
2019-05-23,6493.0
2019-05-22,6514.0
2019-05-21,6495.0
2019-05-20,6485.0
2019-05-18,6363.0
2019-05-17,6363.0
2019-05-16,6345.0
2019-05-15,6287.0
2019-05-14,6226.0
2019-05-13,6297.0
2019-05-11,6296.0
2019-05-10,6296.0
2019-05-09,6272.0
2019-05-08,6239.0
2019-05-07,6281.0
2019-05-06,6250.0
2019-05-04,6319.0
2019-05-03,6319.0
2019-05-02,6321.0
2019-05-01,6350.0
2019-04-30,6304.0
2019-04-29,6342.0
2019-04-27,6368.0
2019-04-26,6368.0
2019-04-25,6369.0
2019-04-24,6368.0
2019-04-23,6309.0
2019-04-22,6244.0
2019-04-20,6244.0
2019-04-19,6244.0
2019-04-18,6244.0
2019-04-17,6239.0
2019-04-16,6269.0
2019-04-15,6240.0
2019-04-13,6236.0
2019-04-12,6236.0
2019-04-11,6185.0
2019-04-10,6208.0
2019-04-09,6197.0
2019-04-08,6210.0
2019-04-06,6163.0
2019-04-05,6218.0
2019-04-04,6218.0
2019-04-03,6269.0
2019-04-02,6233.0
2019-04-01,6204.0
2019-03-30,6171.0
2019-03-29,6171.0
2019-03-28,6168.0
2019-03-27,6113.0
2019-03-26,6115.0
2019-03-25,6108.0
2019-03-23,6183.0
2019-03-22,6183.0
2019-03-21,6155.0
2019-03-20,6174.0
2019-03-19,6188.0
2019-03-18,6191.0
2019-03-16,6171.0
2019-03-15,6171.0
2019-03-14,6187.0
2019-03-13,6162.0
2019-03-12,6173.0
2019-03-11,6186.0
2019-03-09,6204.0
2019-03-08,6204.0
2019-03-07,6270.0
2019-03-06,6247.0
2019-03-05,6180.0
2019-03-04,6213.0
2019-03-02,6192.0
2019-03-01,6192.0
2019-02-28,6149.0
2019-02-27,6131.0
2019-02-26,6105.0
2019-02-25,6145.0
2019-02-23,6130.0
2019-02-22,6130.0
2019-02-21,6101.0
2019-02-20,6060.0
2019-02-19,6065.0
2019-02-18,6052.0
2019-02-16,6013.0
2019-02-15,6013.0
2019-02-14,6013.0
2019-02-13,6018.0
2019-02-12,6016.0
2019-02-11,5997.0
2019-02-09,6011.0
2019-02-08,6011.0
2019-02-07,6046.0
2019-02-06,5970.0
2019-02-05,5939.0
2019-02-04,5837.0
2019-02-02,5801.0
2019-02-01,5801.0
2019-01-31,5804.0
2019-01-30,5827.0
2019-01-29,5817.0
2019-01-28,5851.0
2019-01-26,5849.0
2019-01-25,5849.0
2019-01-24,5808.0
2019-01-23,5792.0
2019-01-22,5803.0
2019-01-21,5827.0
2019-01-19,5821.0
