Date,Open,High,Low,Last,Volume,Open Interest
2019-11-28,494.0,494.5,488.0,488.5,7492.0,3750.0
2019-11-27,494.0,494.5,488.0,488.5,7492.0,3750.0
2019-11-26,499.25,500.0,493.5,494.0,8312.0,7854.0
2019-11-25,492.75,499.75,492.25,498.25,5345.0,11843.0
2019-11-22,495.0,498.25,492.5,492.75,5412.0,13709.0
2019-11-21,501.0,502.5,494.5,495.25,5551.0,15392.0
2019-11-20,502.75,506.0,500.75,501.25,6797.0,17891.0
2019-11-19,502.75,504.25,501.25,503.25,4485.0,21201.0
2019-11-18,503.25,507.75,502.0,503.25,4471.0,22721.0
2019-11-15,512.5,512.5,502.75,503.75,3122.0,23442.0
2019-11-14,515.0,517.0,512.0,512.75,3514.0,25087.0
2019-11-13,520.5,521.0,515.0,515.25,6422.0,26224.0
2019-11-12,515.25,522.75,515.0,521.75,3047.0,27382.0
2019-11-11,517.75,519.0,515.0,515.25,4473.0,27342.0
2019-11-08,517.5,526.0,516.0,518.5,5043.0,26500.0
2019-11-07,523.25,526.25,517.0,518.75,4298.0,26550.0
2019-11-06,525.5,526.75,522.5,523.25,2583.0,27066.0
2019-11-05,524.25,528.0,523.5,526.0,3006.0,27060.0
2019-11-04,528.25,528.75,523.5,524.25,5033.0,27642.0
2019-11-01,522.75,532.0,520.5,531.25,6441.0,28134.0
2019-10-31,523.75,524.75,518.0,524.0,4000.0,28567.0
2019-10-30,524.75,529.5,519.75,523.5,5072.0,28567.0
2019-10-29,528.75,529.0,523.5,525.75,4365.0,29028.0
2019-10-28,536.0,537.0,526.25,527.75,3209.0,29354.0
2019-10-25,539.75,542.25,535.75,536.75,4267.0,29094.0
2019-10-24,542.0,549.75,536.5,540.0,3841.0,30021.0
2019-10-23,538.75,545.0,534.0,542.25,4048.0,30181.0
2019-10-22,537.0,545.0,536.25,539.0,2570.0,29885.0
2019-10-21,543.25,546.0,537.0,537.75,3849.0,30288.0
2019-10-18,550.5,551.5,542.25,544.5,4197.0,30914.0
2019-10-17,550.0,558.0,548.5,552.0,2640.0,30913.0
2019-10-16,544.5,552.0,543.5,550.5,3177.0,31299.0
2019-10-15,551.0,551.0,544.5,545.5,3908.0,31934.0
2019-10-14,550.0,552.75,545.5,552.0,5686.0,31776.0
2019-10-11,532.75,550.75,532.5,548.0,4093.0,32590.0
2019-10-10,540.5,547.0,531.25,535.25,4098.0,32678.0
2019-10-09,543.0,548.0,541.25,541.75,3332.0,33092.0
2019-10-08,538.25,545.0,533.75,543.5,3001.0,33864.0
2019-10-07,536.5,541.25,535.75,538.5,5375.0,33794.0
2019-10-04,528.75,538.75,527.25,536.0,3557.0,34229.0
2019-10-03,527.5,530.5,524.25,529.5,5597.0,35579.0
2019-10-02,532.5,535.25,521.5,529.5,7819.0,36822.0
2019-10-01,544.75,547.75,529.75,533.0,7604.0,36583.0
2019-09-30,547.25,557.0,543.0,544.5,7531.0,36425.0
2019-09-27,549.0,554.75,546.5,547.0,11312.0,36898.0
2019-09-26,552.75,559.0,546.0,548.75,8804.0,37428.0
2019-09-25,544.5,557.0,544.0,554.25,7605.0,37879.0
2019-09-24,536.5,548.5,535.25,544.5,8271.0,37893.0
