Date,Open,High,Low,Last,Change,Settle,Volume,Open Interest
2015-03-20,4454.0,4472.0,4445.5,4446.5,25.25,4447.25,1157.0,2801.0
2015-03-19,4419.0,4431.0,4411.0,4420.5,1.75,4422.0,101.0,2657.0
2015-03-18,4359.5,4438.0,4337.0,4417.5,49.75,4420.25,269.0,2534.0
2015-03-17,4350.0,4377.5,4345.0,4370.5,17.75,4370.5,306.0,2368.0
2015-03-16,4326.0,4364.75,4321.0,4353.0,50.5,4352.75,1349.0,1133.0
2015-03-13,4325.5,4341.0,4283.0,4301.0,22.5,4302.25,262.0,923.0
2015-03-12,4298.0,4334.0,4298.0,4323.5,23.5,4324.75,540.0,695.0
2015-03-11,4331.0,4334.0,4300.0,4303.0,23.5,4301.25,336.0,372.0
2015-03-10,4358.0,4358.0,4324.0,4324.0,82.5,4324.75,15.0,369.0
2015-03-09,4393.5,4414.0,4390.0,4414.0,8.75,4407.25,268.0,101.0
2015-03-06,4416.0,4416.0,4386.0,4386.0,44.5,4398.5,29.0,80.0
2015-03-05,4454.0,4457.0,4441.0,4441.0,5.0,4443.0,3.0,80.0
2015-03-04,4438.0,4438.0,4438.0,4438.0,12.5,4438.0,0.0,80.0
2015-03-03,4450.5,4450.5,4450.5,4450.5,20.25,4450.5,0.0,81.0
2015-03-02,4463.0,4475.0,4463.0,4475.0,34.75,4470.75,16.0,75.0
2015-02-27,4436.0,4436.0,4436.0,4436.0,19.5,4436.0,0.0,81.0
2015-02-26,4440.0,4452.0,4440.0,4452.0,25.0,4455.5,6.0,77.0
2015-02-25,4444.5,4449.5,4444.5,4449.5,13.75,4430.5,3.0,75.0
2015-02-24,4436.5,4441.0,4436.5,4441.0,5.75,4444.25,4.0,75.0
2015-02-23,4438.5,4438.5,4438.5,4438.5,6.5,4438.5,0.0,75.0
2015-02-20,4432.0,4432.0,4432.0,4432.0,24.75,4432.0,0.0,75.0
2015-02-19,4407.25,4407.25,4407.25,4407.25,26.75,4407.25,0.0,75.0
2015-02-18,4380.5,4380.5,4380.5,4380.5,4.25,4380.5,0.0,75.0
2015-02-17,4376.25,4376.25,4376.25,4376.25,5.25,4376.25,84.0,0.0
2015-02-13,4371.0,4371.0,4371.0,4371.0,32.25,4371.0,0.0,0.0
2015-02-12,4338.75,4338.75,4338.75,4338.75,48.75,4338.75,0.0,0.0
2015-02-11,4290.0,4290.0,4290.0,4290.0,20.25,4290.0,0.0,0.0
2015-02-10,4269.75,4269.75,4269.75,4269.75,62.0,4269.75,0.0,0.0
2015-02-09,4207.75,4207.75,4207.75,4207.75,13.25,4207.75,0.0,0.0
2015-02-06,4221.0,4221.0,4221.0,4221.0,20.0,4221.0,0.0,0.0
2015-02-05,4241.0,4241.0,4241.0,4241.0,43.5,4241.0,0.0,0.0
2015-02-04,4197.5,4197.5,4197.5,4197.5,12.25,4197.5,0.0,0.0
2015-02-03,4209.75,4209.75,4209.75,4209.75,31.5,4209.75,0.0,0.0
2015-02-02,4178.25,4178.25,4178.25,4178.25,45.75,4178.25,0.0,0.0
2015-01-30,4132.5,4132.5,4165.0,4165.0,44.5,4132.5,0.0,0.0
2015-01-29,4177.0,4177.0,4177.0,4177.0,64.25,4177.0,0.0,0.0
2015-01-27,4166.0,4166.0,4166.0,4166.0,93.25,4166.0,0.0,0.0
2015-01-26,4259.25,4259.25,4256.0,4256.0,3.0,4259.25,0.0,0.0
2015-01-23,4256.25,4256.25,4256.25,4256.25,0.5,4256.25,0.0,0.0
2015-01-22,4256.75,4256.75,4256.75,4256.75,86.25,4256.75,0.0,0.0
2015-01-21,4170.5,4170.5,4170.5,4170.5,16.75,4170.5,0.0,0.0
2015-01-20,4153.75,4153.75,4153.75,4153.75,33.0,4153.75,0.0,0.0
2015-01-16,4120.75,4120.75,4120.75,4120.75,42.5,4120.75,0.0,0.0
2015-01-15,4078.25,4078.25,4078.25,4078.25,55.25,4078.25,0.0,0.0
2015-01-14,4133.5,4133.5,4133.5,4133.5,11.5,4133.5,0.0,0.0
2015-01-13,4145.0,4145.0,4145.0,4145.0,11.25,4145.0,0.0,0.0
2015-01-12,4156.25,4156.25,4156.25,4156.25,33.75,4156.25,0.0,0.0
2015-01-09,4190.0,4190.0,4190.0,4190.0,28.25,4190.0,0.0,0.0
2015-01-08,4218.25,4218.25,4218.25,4218.25,77.5,4218.25,0.0,0.0
2015-01-07,4140.75,4140.75,4140.75,4140.75,49.25,4140.75,0.0,0.0
2015-01-06,4091.5,4091.5,4091.5,4091.5,59.5,4091.5,0.0,0.0
2015-01-05,4151.0,4151.0,4151.0,4151.0,49.25,4151.0,0.0,0.0
2015-01-02,4200.25,4200.25,4200.25,4200.25,21.75,4200.25,0.0,0.0
2014-12-26,4297.25,4297.25,4297.25,4297.25,22.5,4297.25,0.0,0.0
2014-12-24,4274.75,4274.75,4274.75,4274.75,4.5,4274.75,0.0,0.0
2014-12-23,4270.25,4270.25,4270.25,4270.25,10.75,4270.25,0.0,0.0
2014-12-22,4281.0,4281.0,4281.0,4281.0,7.25,4281.0,0.0,0.0
2014-12-19,4269.0,4304.5,4258.5,4283.0,24.5,4273.75,0.0,0.0
2014-12-18,4157.0,4272.0,4150.75,4263.5,103.5,4263.0,1515.0,6735.0
2014-12-17,4091.5,4174.0,4083.0,4157.5,76.25,4159.5,2596.0,4614.0
2014-12-16,4165.0,4187.0,4080.0,4080.0,77.0,4083.25,1416.0,4154.0
2014-12-15,4196.0,4234.0,4143.0,4159.0,25.5,4160.25,1997.0,2343.0
2014-12-12,4230.0,4250.0,4182.0,4184.5,47.0,4185.75,1200.0,1069.0
2014-12-11,4234.0,4292.0,4220.0,4233.0,10.5,4232.75,1067.0,248.0
2014-12-10,4277.0,4290.0,4215.0,4222.0,63.5,4222.25,143.0,107.0
2014-12-09,4229.5,4292.5,4214.0,4286.5,11.75,4285.75,63.0,90.0
2014-12-08,4295.0,4313.0,4256.0,4275.0,34.25,4274.0,10.0,80.0
2014-12-05,4308.25,4308.25,4308.25,4308.25,0.25,4308.25,0.0,80.0
2014-12-04,4308.5,4308.5,4308.5,4308.5,3.25,4308.5,6.0,85.0
2014-12-03,4305.25,4305.25,4305.25,4305.25,5.0,4305.25,0.0,85.0
2014-12-02,4300.25,4300.25,4300.25,4300.25,19.0,4300.25,0.0,85.0
2014-12-01,4281.5,4300.0,4279.0,4284.0,51.75,4281.25,2.0,85.0
2014-11-28,4333.0,4338.0,4333.0,4338.0,20.75,4333.0,0.0,85.0
2014-11-26,4293.0,4313.0,4293.0,4313.0,25.25,4312.25,8.0,80.0
2014-11-25,4292.0,4292.25,4286.0,4286.0,10.25,4287.0,5.0,77.0
2014-11-24,4269.0,4278.0,4268.0,4277.0,32.75,4276.75,9.0,75.0
2014-11-21,4244.0,4244.0,4244.0,4244.0,4.25,4244.0,0.0,75.0
2014-11-20,4237.0,4239.0,4237.0,4239.0,21.5,4239.75,1.0,75.0
2014-11-19,4218.25,4218.25,4218.25,4218.25,14.0,4218.25,0.0,75.0
2014-11-18,4232.25,4240.0,4232.25,4240.0,26.0,4232.25,0.0,75.0
2014-11-17,4215.0,4216.0,4190.0,4205.0,9.5,4206.25,88.0,7.0
2014-11-14,4203.0,4214.0,4202.0,4214.0,17.25,4215.75,12.0,0.0
2014-11-13,4198.5,4198.5,4198.5,4198.5,9.0,4198.5,0.0,0.0
2014-11-12,4189.5,4187.0,4189.5,4187.0,13.0,4189.5,0.0,0.0
2014-11-11,4176.5,4176.5,4176.5,4176.5,13.25,4176.5,0.0,0.0
2014-11-10,4163.25,4163.25,4163.25,4163.25,19.5,4163.25,0.0,0.0
2014-11-07,4143.75,4143.75,4143.75,4143.75,12.0,4143.75,0.0,0.0
2014-11-06,4155.75,4155.75,4155.75,4155.75,20.25,4155.75,0.0,0.0
