Date,Open,Bid,Ask,Last Traded,High,Low,Volume,Prev. Day Settlement Price,Net Change,Prev. Day Open Interest
2019-11-28,26797.0,,,,27058.0,26793.0,113819.0,26868.0,-149.0,104323.0
2019-11-27,27060.0,,,,27077.0,26935.0,73846.0,27017.0,-20.0,90353.0
2019-11-26,27278.0,,,,27327.0,26981.0,63110.0,27037.0,-46.0,54116.0
2019-11-25,26698.0,,,,27192.0,26698.0,57940.0,27083.0,411.0,27788.0
2019-11-22,26652.0,,,,26722.0,26523.0,7365.0,26672.0,178.0,25974.0
2019-11-21,26637.0,,,,26647.0,26200.0,3972.0,26494.0,-361.0,24380.0
2019-11-20,26930.0,,,,27010.0,26833.0,3156.0,26855.0,-274.0,24555.0
2019-11-19,26562.0,,,,27159.0,26552.0,1784.0,27129.0,398.0,23959.0
2019-11-18,26400.0,,,,26750.0,26375.0,1774.0,26731.0,411.0,24025.0
2019-11-15,26520.0,,,,26656.0,26320.0,919.0,26320.0,-55.0,24013.0
2019-11-14,26470.0,,,,26664.0,26230.0,1638.0,26375.0,-164.0,23656.0
2019-11-13,26797.0,,,,26797.0,26495.0,2588.0,26539.0,-490.0,22592.0
2019-11-12,27178.0,,,,27178.0,26837.0,1444.0,27029.0,-16.0,22267.0
2019-11-11,27521.0,,,,27531.0,26866.0,1693.0,27045.0,-690.0,22058.0
2019-11-08,27889.0,,,,27889.0,27649.0,2470.0,27735.0,-135.0,21891.0
2019-11-07,27728.0,,,,27986.0,27590.0,1820.0,27870.0,88.0,22061.0
2019-11-06,27714.0,,,,27835.0,27593.0,452.0,27782.0,57.0,22049.0
2019-11-05,27635.0,,,,27801.0,27500.0,631.0,27725.0,80.0,21904.0
2019-11-04,27236.0,,,,27645.0,27236.0,1263.0,27645.0,470.0,22045.0
2019-11-01,26844.0,,,,27183.0,26800.0,1651.0,27175.0,151.0,22059.0
2019-10-31,26768.0,,,,27079.0,26746.0,1700.0,27024.0,354.0,22386.0
2019-10-30,26770.0,,,,26824.0,26625.0,125829.0,26631.0,-123.0,110735.0
2019-10-29,27052.0,,,,27088.0,26744.0,94458.0,26754.0,-172.0,80967.0
2019-10-28,26790.0,,,,27050.0,26769.0,76370.0,26926.0,233.0,39411.0
2019-10-25,26790.0,,,,26800.0,26605.0,47989.0,26693.0,-67.0,8425.0
2019-10-24,26648.0,,,,26840.0,26567.0,6536.0,26760.0,216.0,4654.0
2019-10-23,26793.0,,,,26826.0,26470.0,3268.0,26544.0,-243.0,3622.0
2019-10-22,26791.0,,,,26875.0,26727.0,1623.0,26787.0,85.0,2994.0
2019-10-21,26700.0,,,,26838.0,26665.0,867.0,26702.0,20.0,2602.0
2019-10-18,26876.0,,,,27010.0,26680.0,890.0,26682.0,-210.0,2536.0
2019-10-17,26741.0,,,,26985.0,26728.0,558.0,26892.0,247.0,2472.0
2019-10-16,26562.0,,,,26731.0,26425.0,491.0,26645.0,150.0,2411.0
2019-10-15,26580.0,,,,26618.0,26451.0,493.0,26495.0,-44.0,2268.0
2019-10-14,26528.0,,,,26662.0,26390.0,445.0,26539.0,123.0,2120.0
2019-10-11,25967.0,,,,26430.0,25967.0,623.0,26416.0,596.0,1714.0
2019-10-10,25602.0,,,,25840.0,25521.0,1864.0,25820.0,156.0,1683.0
2019-10-09,25733.0,,,,25870.0,25659.0,944.0,25664.0,-216.0,1229.0
2019-10-08,25854.0,,,,26208.0,25720.0,700.0,25880.0,86.0,1114.0
2019-10-04,26170.0,,,,26184.0,25582.0,1191.0,25794.0,-361.0,967.0
2019-10-03,25731.0,,,,26227.0,25731.0,1079.0,26155.0,193.0,738.0
2019-10-02,25870.0,,,,26084.0,25768.0,459.0,25962.0,-99.0,637.0
2019-09-30,25837.0,,,,26146.0,25822.0,818.0,26061.0,,637.0
2019-09-27,25940.0,,,,26044.0,25802.0,129316.0,25988.0,-36.0,103388.0
2019-09-26,26010.0,,,,26106.0,25924.0,85803.0,26024.0,120.0,83830.0
2019-09-25,26152.0,,,,26236.0,25901.0,83163.0,25904.0,-395.0,51958.0
2019-09-24,26342.0,,,,26430.0,26230.0,59863.0,26299.0,168.0,18291.0
2019-09-23,26406.0,,,,26530.0,26127.0,11510.0,26131.0,-294.0,9169.0
2019-09-20,26505.0,,,,26596.0,26414.0,5247.0,26425.0,-74.0,5936.0
2019-09-19,26770.0,,,,26835.0,26358.0,3111.0,26499.0,-238.0,4126.0
2019-09-18,26838.0,,,,26904.0,26733.0,1321.0,26737.0,-17.0,3513.0
2019-09-17,27027.0,,,,27027.0,26586.0,2168.0,26754.0,-306.0,3313.0
2019-09-16,27219.0,,,,27219.0,26990.0,934.0,27060.0,-255.0,3002.0
2019-09-13,27161.0,,,,27388.0,27102.0,447.0,27315.0,232.0,3015.0
2019-09-12,27300.0,,,,27322.0,26952.0,581.0,27083.0,-27.0,3075.0
2019-09-11,26770.0,,,,27148.0,26687.0,975.0,27110.0,483.0,2693.0
2019-09-10,26766.0,,,,26869.0,26509.0,799.0,26627.0,-13.0,2427.0
2019-09-09,26670.0,,,,26777.0,26511.0,591.0,26640.0,60.0,2082.0
2019-09-06,26700.0,,,,26742.0,26500.0,617.0,26580.0,56.0,1673.0
2019-09-05,26425.0,,,,26674.0,26390.0,203.0,26524.0,58.0,473.0
2019-09-04,25525.0,,,,26611.0,25525.0,1837.0,26466.0,1006.0,473.0
2019-09-03,25373.0,,,,25655.0,25373.0,700.0,25460.0,-44.0,118.0
2019-09-02,25400.0,,,,25560.0,25400.0,208.0,25504.0,-101.0,29.0
2019-08-30,25900.0,,,,25900.0,25463.0,50.0,25605.0,,29.0
2019-08-29,25540.0,,,,25659.0,25264.0,168810.0,25646.0,103.0,99824.0
2019-08-28,25694.0,,,,25775.0,25472.0,77284.0,25543.0,-24.0,80141.0
2019-08-27,25600.0,,,,25680.0,25448.0,65212.0,25567.0,-2.0,51097.0
2019-08-26,25250.0,,,,25638.0,25070.0,53859.0,25569.0,-462.0,25320.0
2019-08-23,25918.0,,,,26102.0,25800.0,6688.0,26031.0,156.0,20860.0
2019-08-22,26168.0,,,,26168.0,25829.0,4447.0,25875.0,-285.0,19630.0
2019-08-21,25980.0,,,,26194.0,25946.0,2342.0,26160.0,20.0,19086.0
2019-08-20,26078.0,,,,26208.0,25981.0,1479.0,26140.0,23.0,18858.0
2019-08-19,25845.0,,,,26204.0,25770.0,1966.0,26117.0,551.0,18498.0
2019-08-16,25291.0,,,,25658.0,25168.0,2327.0,25566.0,206.0,18051.0
2019-08-15,24701.0,,,,25400.0,24701.0,2504.0,25360.0,222.0,17701.0
2019-08-14,25617.0,,,,25617.0,25000.0,2453.0,25138.0,8.0,17534.0
2019-08-13,25288.0,,,,25454.0,25090.0,1096.0,25130.0,-357.0,17631.0
2019-08-12,25653.0,,,,25930.0,25488.0,2118.0,25487.0,-323.0,18067.0
2019-08-09,26025.0,,,,26130.0,25750.0,624.0,25810.0,-139.0,17969.0
2019-08-08,25868.0,,,,26159.0,25778.0,2718.0,25949.0,89.0,18603.0
2019-08-07,25828.0,,,,25875.0,25555.0,2419.0,25860.0,-27.0,18994.0
