Date,Open,High,Low,Close,Volume,Open Interest
2019-11-28,19430.0,19440.0,19370.0,19390.0,17.0,502.0
2019-11-27,19520.0,19530.0,19380.0,19410.0,134.0,511.0
2019-11-26,19350.0,19510.0,19350.0,19480.0,183.0,525.0
2019-11-25,19240.0,19320.0,19240.0,19300.0,31.0,431.0
2019-11-22,19220.0,19300.0,19200.0,19260.0,67.0,429.0
2019-11-21,19250.0,19290.0,19200.0,19220.0,138.0,388.0
2019-11-20,19270.0,19350.0,19270.0,19310.0,12.0,282.0
2019-11-19,19210.0,19300.0,19200.0,19220.0,47.0,272.0
2019-11-18,19290.0,19380.0,19200.0,19270.0,16.0,238.0
2019-11-15,19170.0,19390.0,19170.0,19250.0,34.0,238.0
2019-11-14,19260.0,19270.0,19260.0,19270.0,2.0,230.0
2019-11-13,19090.0,19200.0,19020.0,19200.0,59.0,230.0
2019-11-12,18910.0,19050.0,18910.0,19050.0,63.0,232.0
2019-11-11,19140.0,19140.0,18900.0,18980.0,253.0,247.0
2019-11-08,19340.0,19350.0,19180.0,19200.0,52.0,116.0
2019-11-07,19280.0,19430.0,19250.0,19370.0,23.0,85.0
2019-11-06,19480.0,19500.0,19320.0,19370.0,113.0,96.0
2019-11-05,19540.0,19540.0,19530.0,19540.0,3.0,29.0
2019-11-04,19600.0,19730.0,19600.0,19670.0,8.0,29.0
2019-11-01,19560.0,19590.0,19500.0,19530.0,19.0,25.0
2019-10-31,19650.0,19650.0,19550.0,19580.0,12.0,33.0
2019-10-30,0.0,0.0,0.0,19550.0,0.0,32.0
2019-10-29,19550.0,19550.0,19550.0,19550.0,1.0,32.0
2019-10-28,0.0,0.0,0.0,19540.0,0.0,33.0
2019-10-25,19450.0,19470.0,19450.0,19450.0,10.0,27.0
2019-10-24,0.0,0.0,0.0,19450.0,0.0,30.0
2019-10-23,19450.0,19490.0,19390.0,19450.0,16.0,30.0
2019-10-22,19410.0,19450.0,19410.0,19420.0,10.0,37.0
2019-10-21,0.0,0.0,0.0,19550.0,0.0,38.0
2019-10-18,19460.0,19600.0,19460.0,19550.0,17.0,38.0
2019-10-17,19520.0,19570.0,19460.0,19480.0,21.0,27.0
2019-10-16,0.0,0.0,0.0,19200.0,0.0,14.0
2019-10-15,0.0,0.0,0.0,19200.0,0.0,14.0
2019-10-14,0.0,0.0,0.0,19200.0,0.0,14.0
2019-10-11,0.0,0.0,0.0,19200.0,0.0,14.0
2019-10-10,19200.0,19200.0,19200.0,19200.0,1.0,14.0
2019-10-09,0.0,0.0,0.0,19130.0,0.0,14.0
2019-10-08,0.0,0.0,0.0,19130.0,0.0,14.0
2019-10-07,0.0,0.0,0.0,19130.0,0.0,14.0
2019-10-04,0.0,0.0,0.0,19130.0,0.0,14.0
2019-10-03,0.0,0.0,0.0,19130.0,0.0,14.0
2019-10-01,19130.0,19130.0,19130.0,19130.0,2.0,14.0
2019-09-30,0.0,0.0,0.0,19150.0,0.0,12.0
2019-09-27,0.0,0.0,0.0,19150.0,0.0,12.0
2019-09-26,0.0,0.0,0.0,19150.0,0.0,12.0
2019-09-25,0.0,0.0,0.0,19150.0,0.0,12.0
2019-09-24,0.0,0.0,0.0,19150.0,0.0,12.0
2019-09-23,19150.0,19150.0,19150.0,19150.0,4.0,12.0
2019-09-20,0.0,0.0,0.0,19400.0,0.0,12.0
2019-09-19,0.0,0.0,0.0,19400.0,0.0,12.0
2019-09-18,0.0,0.0,0.0,19400.0,0.0,12.0
